No.,15IV B,16IV G,17IV R,8VF B,9VF G,10VF R,11LMD B,12LMD G,13LMD R
78414,2.0499,8.661,6.914,3.325,3.668,2.451,457.7,526.5,621.3
78415,2.1256,8.66,7.067,3.146,3.411,2.459,457.6,525.5,621.2
78416,2.0234,8.866,7.112,3.251,3.805,2.563,457.3,524.8,621.1
78417,2.2802,8.817,6.92,3.406,3.571,2.53,459.1,525.3,621.6
78418,2.1083,8.757,7.009,3.377,3.42,2.469,457.8,526.2,621.3
78419,2.0805,8.578,6.848,3.26,3.732,2.429,457.7,525.3,621.5
78420,2.1931,8.61,7.068,3.225,3.534,2.564,458.8,524.8,621.4
78421,2.1099,8.967,7.131,3.25,3.781,2.491,458.2,524.3,621.2
78422,2.1354,8.801,7.127,3.221,3.703,2.538,458,524.1,621.1
78423,2.0811,8.796,7.057,3.234,3.805,2.482,457.6,524.4,621.3
78424,2.2242,8.776,7.027,3.293,3.519,2.407,459.1,525.2,621.3
78425,2.0409,8.514,6.899,3.215,3.838,2.497,457.6,524.5,621.3
78426,2.0582,8.97,7.075,3.264,3.597,2.455,457.7,525.4,621.4
78427,2.0556,8.516,6.866,3.26,3.805,2.479,457.5,523.7,621.6
78428,2.0755,8.851,6.964,3.235,3.68,2.554,457.8,524.8,621.4
78429,2.1037,8.826,7.088,3.177,3.742,2.457,458,523.9,621.3
78430,2.1041,8.707,7.032,3.119,3.626,2.548,458,524,621.2
78431,2.0599,8.812,7.062,3.254,3.735,2.635,457.8,524.6,621.4
78432,2.0867,8.657,7.106,3.252,3.556,2.455,457.9,526.1,621.4
78433,2.1333,8.735,7.029,3.178,3.736,2.48,457.8,525.2,621.3
78434,1.9993,8.959,7.118,3.085,3.799,2.576,457.6,525.2,621.2
78435,2.21,8.766,7.061,3.374,3.683,2.427,459.6,524.5,621.2
78436,2.1008,8.581,7.033,3.303,3.403,2.412,457.8,525.7,621.3
78437,2.0318,8.754,7.085,3.145,3.683,2.53,457.5,524.5,621.2
78438,2.1289,8.569,6.906,3.388,3.493,2.415,458,524.9,621.5
78439,2.0969,8.593,6.987,3.317,3.647,2.45,458,525.6,621.3
78440,2.0675,8.779,7.141,3.214,3.734,2.428,457.6,524,621.2
78441,2.0548,8.801,7.104,3.4,3.824,2.424,457.8,525.5,621.3
78442,2.1966,8.833,7.153,3.259,3.773,2.533,459.3,524.5,621.3
